DEPT OF ENVIRONMENT PROTECTION,External,City Planner,CITY PLANNER,01,Below 50K,WSO-Executive Div/Project Mgmt
DEPT OF ENVIRONMENT PROTECTION,Internal,GIS Analyst,COMPUTER PROGRAMMER ANALYST,01,Below 50K,WSO-Executive Div/Project Mgmt
DEPT OF ENVIRONMENT PROTECTION,External,GIS Analyst,COMPUTER PROGRAMMER ANALYST,01,Below 50K,WSO-Executive Div/Project Mgmt
ADMIN FOR CHILDREN'S SVCS,Internal,Asset Management Specialist,COMPUTER ASSOC (TECH SUPP),01,Below 50K,"Mis Admin,Network Sysms Dvlpmt"
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Senior Personnel Coordinator, Epidemiology Administration",PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,EPI Division Admin
ADMIN FOR CHILDREN'S SVCS,External,Asset Management Specialist,COMPUTER ASSOC (TECH SUPP),01,Below 50K,"Mis Admin,Network Sysms Dvlpmt"
HOUSING PRESERVATION & DVLPMNT,External,.NET Programmer; PowerBuilder Programmer/Analyst,COMPUTER SPECIALIST (SOFTWARE),01,Above 50K,Technology & Strategic Develop
HOUSING PRESERVATION & DVLPMNT,Internal,.NET Programmer; PowerBuilder Programmer/Analyst,COMPUTER SPECIALIST (SOFTWARE),01,Above 50K,Technology & Strategic Develop
DEPT OF YOUTH & COMM DEV SRVS,External,Program Manager,CONTRACT SPECIALIST,02,Below 50K,Vulnerable Youth &At-riskYout
DEPT OF YOUTH & COMM DEV SRVS,Internal,Program Manager,CONTRACT SPECIALIST,02,Below 50K,Vulnerable Youth &At-riskYout
DEPT OF INFO TECH & TELECOMM,External,Service Desk Agent,COMPUTER ASSOC (OPERATIONS),01,Below 50K,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Internal,Service Desk Agent,COMPUTER ASSOC (OPERATIONS),01,Below 50K,IT Svcs Delivery
DEPT OF ENVIRONMENT PROTECTION,Internal,MECHANICAL ENGINEERING INTERN,MECHANICAL ENGINEERING INTERN,00,Above 50K,Central Brookly City Operation
DEPT OF ENVIRONMENT PROTECTION,External,MECHANICAL ENGINEERING INTERN,MECHANICAL ENGINEERING INTERN,00,Above 50K,Central Brookly City Operation
DEPT OF RECORDS & INFO SERVICE,Internal,BUDGETREVENUE ANALYST,STAFF ANALYST,01,Below 50K,Executive Offices
DEPT OF RECORDS & INFO SERVICE,External,BUDGETREVENUE ANALYST,STAFF ANALYST,01,Below 50K,Executive Offices
DEPT OF HEALTH/MENTAL HYGIENE,External,"Senior Personnel Coordinator, Epidemiology Administration",PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,EPI Division Admin
DEPARTMENT OF TRANSPORTATION,Internal,Network Security Specialist,CERTIFIED IT ADMINISTRATOR (LA,04,Above 50K,IT & Telecom
DEPARTMENT OF TRANSPORTATION,External,Network Security Specialist,CERTIFIED IT ADMINISTRATOR (LA,04,Above 50K,IT & Telecom
DEPARTMENT OF FINANCE,Internal,Investigator,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,EEO Officer
BOARD OF CORRECTION,External,Standards Specialist ( Monitor),CORRECTIONAL STANDARDS REVIEW,02,Above 50K,Board Staff
DEPT OF ENVIRONMENT PROTECTION,Internal,COMPUTER SPECIALIST (SOFTWARE),COMPUTER SPECIALIST (SOFTWARE),01,Above 50K,Bronx North South Yard Reser
DEPT OF DESIGN & CONSTRUCTION,Internal,College Aide,COLLEGE AIDE - ASSIGNMENT LEVE,02,Below 50K,Prog Mgmt/Prog Control-Exec
DEPT OF DESIGN & CONSTRUCTION,External,College Aide,COLLEGE AIDE - ASSIGNMENT LEVE,02,Below 50K,Prog Mgmt/Prog Control-Exec
HRA/DEPT OF SOCIAL SERVICES,Internal,STAFF NURSE,STAFF NURSE,00,Above 50K,Micsa Home Care Svcs-NM
BOARD OF CORRECTION,Internal,Standards Specialist ( Monitor),CORRECTIONAL STANDARDS REVIEW,02,Above 50K,Board Staff
HOUSING PRESERVATION & DVLPMNT,Internal,GIS /.Net Web Developer,COMPUTER ASSOC (OPERATIONS),03,Above 50K,Technology & Strategic Develop
HOUSING PRESERVATION & DVLPMNT,External,GIS /.Net Web Developer,COMPUTER ASSOC (OPERATIONS),03,Above 50K,Technology & Strategic Develop
DEPT OF YOUTH & COMM DEV SRVS,Internal,Procurement Analyst,PROCUREMENT ANALYST,02,Below 50K,Procurement
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Scientist (Radiation Control), Bureau of Environmental Sciences and Engineering/Radiation Equipment",SCIENTIST (RADIATION CONTROL),02,Above 50K,Radiation Equipment
DEPT OF HEALTH/MENTAL HYGIENE,External,"Administrative Assistant, Bureau of Mental Health",PRINCIPAL ADMINISTRATIVE ASSOC,01,Below 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Administrative Assistant, Bureau of Mental Health",PRINCIPAL ADMINISTRATIVE ASSOC,01,Below 50K,Mental Health
DEPT OF ENVIRONMENT PROTECTION,Internal,Transportation Policy Advisor,COMMUNITY COORDINATOR,00,Below 50K,LongTerm Planning&Sustainablty
DEPT OF YOUTH & COMM DEV SRVS,External,Procurement Analyst,PROCUREMENT ANALYST,02,Below 50K,Procurement
DEPT OF HEALTH/MENTAL HYGIENE,External,"Scientist (Radiation Control), Bureau of Environmental Sciences and Engineering/Radiation Equipment",SCIENTIST (RADIATION CONTROL),02,Above 50K,Radiation Equipment
DEPARTMENT OF TRANSPORTATION,Internal,Construction Project Manager,CONSTRUCTION PROJECT MANAGER,01,Above 50K,Bridge Repair/PM Headquarters
OFFICE OF THE COMPTROLLER,Internal,RESEARCH ASSISTANT TO THE CHIEF DIVERSITY OFFICER,BUSINESS PROMOTION COORDINATOR,01,Below 50K,Executive
OFFICE OF THE COMPTROLLER,External,RESEARCH ASSISTANT TO THE CHIEF DIVERSITY OFFICER,BUSINESS PROMOTION COORDINATOR,01,Below 50K,Executive
DEPT OF ENVIRONMENT PROTECTION,External,Transportation Policy Advisor,COMMUNITY COORDINATOR,00,Below 50K,LongTerm Planning&Sustainablty
DEPT OF HEALTH/MENTAL HYGIENE,External,"Pest Control Aide, Bureau of Veterinary and Pest Control Services",CITY PEST CONTROL AIDE,00,Below 50K,Pest Control Services
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Pest Control Aide, Bureau of Veterinary and Pest Control Services",CITY PEST CONTROL AIDE,00,Below 50K,Pest Control Services
ADMIN FOR CHILDREN'S SVCS,External,Trauma-Informed Early Care Education Social Worker,SUPERVISOR I SOCIAL WORK,00,Above 50K,Headstart (ECE)
DEPT OF DESIGN & CONSTRUCTION,Internal,Recovery Regulatory Manager,CONSTRUCTION PROJECT MANAGER,02,Above 50K,Public Buildings - Bib
DEPT OF DESIGN & CONSTRUCTION,External,Recovery Regulatory Manager,CONSTRUCTION PROJECT MANAGER,02,Above 50K,Public Buildings - Bib
HOUSING PRESERVATION & DVLPMNT,Internal,Senior Article XI / 420 -c Analyst,COMMUNITY COORDINATOR,00,Below 50K,Executive-Housing Incentives
HOUSING PRESERVATION & DVLPMNT,External,Senior Article XI / 420 -c Analyst,COMMUNITY COORDINATOR,00,Below 50K,Executive-Housing Incentives
DEPT OF ENVIRONMENT PROTECTION,Internal,Lead Designer for Water Tunnel Structural,CIVIL ENGINEER,02,Above 50K,Water Supply/Design Div (WRD)
ADMIN FOR CHILDREN'S SVCS,Internal,APA Foster Care Program Evaluator,PROGRAM EVALUATOR (ACS),00,Above 50K,Agency Program Assistance(Qa)
ADMIN FOR CHILDREN'S SVCS,Internal,Trauma-Informed Early Care Education Social Worker,SUPERVISOR I SOCIAL WORK,00,Above 50K,Headstart (ECE)
DEPT OF HEALTH/MENTAL HYGIENE,External,"Staff Analyst, Bureau of Sexually Transmitted Disease Control (BSTDC)",STAFF ANALYST,02,Above 50K,STD Administration
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Staff Analyst, Bureau of Sexually Transmitted Disease Control (BSTDC)",STAFF ANALYST,02,Above 50K,STD Administration
ADMIN FOR CHILDREN'S SVCS,External,APA Foster Care Program Evaluator,PROGRAM EVALUATOR (ACS),00,Above 50K,Agency Program Assistance(Qa)
ADMIN FOR CHILDREN'S SVCS,Internal,Child Welfare Trainer,COMMUNITY COORDINATOR,00,Below 50K,Satterwhite Academy (Qa)
ADMIN FOR CHILDREN'S SVCS,External,Child Welfare Trainer,COMMUNITY COORDINATOR,00,Below 50K,Satterwhite Academy (Qa)
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Health and Safety Compliance Specialist,CITY RESEARCH SCIENTIST,01,Above 50K,OCME-Operations
DEPT OF HEALTH/MENTAL HYGIENE,External,Health and Safety Compliance Specialist,CITY RESEARCH SCIENTIST,01,Above 50K,OCME-Operations
DEPARTMENT OF FINANCE,Internal,Server Engineer,CERTIFIED IT ADMINISTRATOR (LA,03,Above 50K,Server Team
DEPARTMENT OF FINANCE,External,Server Engineer,CERTIFIED IT ADMINISTRATOR (LA,03,Above 50K,Server Team
DEPT OF ENVIRONMENT PROTECTION,Internal,Watershed Maintainer,WATERSHED MAINTAINER,00,Below 50K,BWS-Hillview Reservoir
ADMIN FOR CHILDREN'S SVCS,Internal,Deputy Budget Director,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Dpty Comm Fnancl Svcs-Finance
ADMIN FOR CHILDREN'S SVCS,External,Deputy Budget Director,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Dpty Comm Fnancl Svcs-Finance
DEPT OF ENVIRONMENT PROTECTION,External,Watershed Maintainer,WATERSHED MAINTAINER,00,Below 50K,BWS-Hillview Reservoir
ADMIN FOR CHILDREN'S SVCS,External,Senior Budget Analyst,ASSOCIATE STAFF ANALYST,00,Above 50K,Dpty Comm Fnancl Svcs-Finance
ADMIN FOR CHILDREN'S SVCS,Internal,Senior Budget Analyst,ASSOCIATE STAFF ANALYST,00,Above 50K,Dpty Comm Fnancl Svcs-Finance
DEPARTMENT OF CORRECTION,External,Recreation Supervisor,RECREATION SUPERVISOR,00,Below 50K,Adult Offender Pgms.
ADMIN FOR CHILDREN'S SVCS,External,Child Welfare Analyst,CITY RESEARCH SCIENTIST,02,Above 50K,SRM: Elig/Rpt/Sys Spprt-P&P
ADMIN FOR CHILDREN'S SVCS,Internal,Child Welfare Analyst,CITY RESEARCH SCIENTIST,02,Above 50K,SRM: Elig/Rpt/Sys Spprt-P&P
HOUSING PRESERVATION & DVLPMNT,Internal,Housing Inspector,INSPECTOR (HOUSING),00,Below 50K,CE-Brooklyn Office
HOUSING PRESERVATION & DVLPMNT,External,Housing Inspector,INSPECTOR (HOUSING),00,Below 50K,CE-Brooklyn Office
ADMIN FOR CHILDREN'S SVCS,Internal,Predictive Risk Analyst,CITY RESEARCH SCIENTIST,02,Above 50K,SRM: Elig/Rpt/Sys Spprt-P&P
DEPARTMENT OF CORRECTION,Internal,Recreation Supervisor,RECREATION SUPERVISOR,00,Below 50K,Adult Offender Pgms.
NYC HOUSING AUTHORITY,External,Senior Hazmat Coordinator,ASBESTOS HAZARD INVESTIGATOR,00,Below 50K,Office Of Design
NYC HOUSING AUTHORITY,Internal,Senior Hazmat Coordinator,ASBESTOS HAZARD INVESTIGATOR,00,Below 50K,Office Of Design
ADMIN FOR CHILDREN'S SVCS,Internal,Support Team Specialist,CHILD WELFARE SPECIALIST SUPER,02,Above 50K,Off Prev Tech Assistance (FSS)
ADMIN FOR CHILDREN'S SVCS,External,Support Team Specialist,CHILD WELFARE SPECIALIST SUPER,02,Above 50K,Off Prev Tech Assistance (FSS)
DEPT OF HEALTH/MENTAL HYGIENE,External,"Public Health Advisor,  Bureau of School Health/SH Nursing Services & Prof Dev",PUBLIC HEALTH ADVISER (SCHOOL,01,Below 50K,SH Nursing Services & Prof Dev
ADMIN FOR CHILDREN'S SVCS,External,Predictive Risk Analyst,CITY RESEARCH SCIENTIST,02,Above 50K,SRM: Elig/Rpt/Sys Spprt-P&P
DEPT OF ENVIRONMENT PROTECTION,Internal,Civil Engineer,GEOLOGIST,02,Above 50K,Green Infrastructure
DEPT OF ENVIRONMENT PROTECTION,External,Civil Engineer,GEOLOGIST,02,Above 50K,Green Infrastructure
LAW DEPARTMENT,Internal,Disposition Specialist,COMMUNITY COORDINATOR,00,Below 50K,Family Court: New York
HRA/DEPT OF SOCIAL SERVICES,External,STAFF NURSE,STAFF NURSE,00,Above 50K,Micsa Home Care Svcs-NM
LAW DEPARTMENT,External,Disposition Specialist,COMMUNITY COORDINATOR,00,Below 50K,Family Court: New York
DEPT OF DESIGN & CONSTRUCTION,External,Safety Code Compliance,ADMINISTRATIVE PROJECT MANAGER,00,Below 50K,Prog Mgmt/Sm-Applied Tecnology
LAW DEPARTMENT,Internal,Clerk,CLERICAL ASSOCIATE,03,Below 50K,Labor & Employment Law Div P
LAW DEPARTMENT,External,Clerk,CLERICAL ASSOCIATE,03,Below 50K,Labor & Employment Law Div P
FINANCIAL INFO SVCS AGENCY,Internal,OMB BUSINESS ANALYST,IT PROJECT SPECIALIST,00,Above 50K,"Fin Sys, Bus Analys"
FINANCIAL INFO SVCS AGENCY,External,OMB BUSINESS ANALYST,IT PROJECT SPECIALIST,00,Above 50K,"Fin Sys, Bus Analys"
DEPT OF DESIGN & CONSTRUCTION,Internal,Safety Code Compliance,ADMINISTRATIVE PROJECT MANAGER,00,Below 50K,Prog Mgmt/Sm-Applied Tecnology
DEPT OF PARKS & RECREATION,External,Deputy Director of Survey,SURVEYOR,03,Above 50K,CP ADMIN
DEPT OF PARKS & RECREATION,Internal,Deputy Director of Survey,SURVEYOR,03,Above 50K,CP ADMIN
DEPT OF PARKS & RECREATION,Internal,Deputy Director of Survey,SURVEYOR,03,Above 50K,CP ADMIN
HOUSING PRESERVATION & DVLPMNT,External,Home Ownership Programs Project Manager / Underwritier / Analyst,CITY PLANNER,01,Below 50K,Disposition Programs
DEPT OF INFO TECH & TELECOMM,Internal,Manager of Statistical Data,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Mayor's Office of Operations
DEPT OF INFO TECH & TELECOMM,External,Manager of Statistical Data,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Mayor's Office of Operations
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Clerical Associate,CLERICAL ASSOCIATE,02,Below 50K,OCME-Operations
BOARD OF CORRECTION,Internal,INFORMATION TECHNOLOGY ASSOCIATE,COMPUTER ASSOC (OPERATIONS),01,Below 50K,Board Staff
DEPT OF ENVIRONMENT PROTECTION,Internal,Procurement Specialist,PRINCIPAL ADMINISTRATIVE ASSOC,01,Below 50K,Capital Program Unit
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Scientist Radiation Control, Bureau of Environmental Sciences and Engineering",SCIENTIST (RADIATION CONTROL),03,Above 50K,Radiation Equipment
DEPT OF HEALTH/MENTAL HYGIENE,External,"Scientist Radiation Control, Bureau of Environmental Sciences and Engineering",SCIENTIST (RADIATION CONTROL),03,Above 50K,Radiation Equipment
BOARD OF CORRECTION,External,INFORMATION TECHNOLOGY ASSOCIATE,COMPUTER ASSOC (OPERATIONS),01,Below 50K,Board Staff
ADMIN FOR CHILDREN'S SVCS,External,Trauma-Informed Early Care and Education Case Supervisor,SUPERVISOR II SOCIAL WORK,00,Above 50K,Headstart (ECE)
ADMIN FOR CHILDREN'S SVCS,Internal,Trauma-Informed Early Care and Education Case Supervisor,SUPERVISOR II SOCIAL WORK,00,Above 50K,Headstart (ECE)
ADMIN FOR CHILDREN'S SVCS,Internal,Project Manager-Trauma-Informed Early Care and Education Initiative,ADMINISTRATIVE DIRECTOR OF SOC,M1,Above 50K,Early Care Prog Dvlopment (ECE
ADMIN FOR CHILDREN'S SVCS,External,Project Manager-Trauma-Informed Early Care and Education Initiative,ADMINISTRATIVE DIRECTOR OF SOC,M1,Above 50K,Early Care Prog Dvlopment (ECE
ADMIN FOR CHILDREN'S SVCS,External,Director-Trauma-Informed Early Care and Education,ADMINISTRATIVE DIRECTOR OF SOC,M2,Above 50K,Early Care Prog Dvlopment (ECE
ADMIN FOR CHILDREN'S SVCS,External,"Director of Security, ACS Division of Administration, Operations Bureau","DIRECTOR OF SECURITY (HRA/DSS,",M1,Above 50K,Administrative Services(Admin)
ADMIN FOR CHILDREN'S SVCS,Internal,"Director of Security, ACS Division of Administration, Operations Bureau","DIRECTOR OF SECURITY (HRA/DSS,",M1,Above 50K,Administrative Services(Admin)
ADMIN FOR CHILDREN'S SVCS,External,Assistant Director of Clinical Programs and Services,ADMINISTRATIVE PUBLIC HEALTH N,M1,Above 50K,Office Of Chld & Fmly Hlth-Fss
ADMIN FOR CHILDREN'S SVCS,Internal,Assistant Director of Clinical Programs and Services,ADMINISTRATIVE PUBLIC HEALTH N,M1,Above 50K,Office Of Chld & Fmly Hlth-Fss
DEPT OF ENVIRONMENT PROTECTION,External,Civil Engineer,CIVIL ENGINEER,02,Above 50K,E Hudson Dist Shop 60 Kensic
DEPT OF INFO TECH & TELECOMM,Internal,UNIX/Linux Systems Lead,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,IT Svcs Delivery
DEPT OF ENVIRONMENT PROTECTION,Internal,Civil Engineer,CIVIL ENGINEER,02,Above 50K,E Hudson Dist Shop 60 Kensic
DEPT OF ENVIRONMENT PROTECTION,Internal,CLERICAL ASSOCIATE III,CLERICAL ASSOCIATE,03,Below 50K,Sys Operations-Bx Mgmt Eng
HRA/DEPT OF SOCIAL SERVICES,External,Social Worker/NoVA Program,SOCIAL WORKER,00,Below 50K,Domestic Violence-NM
HRA/DEPT OF SOCIAL SERVICES,Internal,Social Worker/NoVA Program,SOCIAL WORKER,00,Below 50K,Domestic Violence-NM
HOUSING PRESERVATION & DVLPMNT,External,"Project Manager, Multifamily Storm Recovery and Resiliency Program",ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,Sandy Recovery
DEPT OF ENVIRONMENT PROTECTION,External,Southeast Queens Capital Program Supervisor,CIVIL ENGINEER,02,Above 50K,JOCS- IFA
DEPT OF ENVIRONMENT PROTECTION,Internal,Southeast Queens Capital Program Supervisor,CIVIL ENGINEER,02,Above 50K,JOCS- IFA
ADMIN FOR CHILDREN'S SVCS,External,Psychiatrist/Director of Oversight for Psychotropic Medications,CITY MEDICAL DIRECTOR,M5,Above 50K,Office Of The Commissioner(Cr)
ADMIN FOR CHILDREN'S SVCS,Internal,Psychiatrist/Director of Oversight for Psychotropic Medications,CITY MEDICAL DIRECTOR,M5,Above 50K,Office Of The Commissioner(Cr)
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Director of Programmatic Fiscal Affairs, Bureau of Controller/Fiscal Management",MANAGEMENT AUDITOR,02,Above 50K,Fiscal Management
DEPT OF HEALTH/MENTAL HYGIENE,External,"Director of Programmatic Fiscal Affairs, Bureau of Controller/Fiscal Management",MANAGEMENT AUDITOR,02,Above 50K,Fiscal Management
DEPT OF HEALTH/MENTAL HYGIENE,External,Criminalist III,CRIMINALIST,03,Above 50K,OCME-DNA
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Criminalist III,CRIMINALIST,03,Above 50K,OCME-DNA
ADMIN FOR CHILDREN'S SVCS,Internal,Directory Services Support,COMPUTER ASSOC (SOFTWARE),01,Above 50K,"Mis Admin,Network Sysms Dvlpmt"
DEPT OF DESIGN & CONSTRUCTION,External,Executive Director,ADMINISTRATIVE ARCHITECT,M2,Above 50K,Pub Bldgs/Admin Supp
DEPT. OF HOMELESS SERVICES,External,Policy Advisor,ADMINISTRATIVE COMMUNITY RELAT,M1,Above 50K,Managerial
DEPT. OF HOMELESS SERVICES,Internal,Policy Advisor,ADMINISTRATIVE COMMUNITY RELAT,M1,Above 50K,Managerial
DEPT OF HEALTH/MENTAL HYGIENE,External,"Administrative Director, Bureau of School Health/SH Medical",HEALTH SERVICES MANAGER,M1,Above 50K,SH Medical
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Administrative Director, Bureau of School Health/SH Medical",HEALTH SERVICES MANAGER,M1,Above 50K,SH Medical
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Supervisor, Registration/Bureau of Vital Statistics",PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,Vital Statistics/Vital Recor
DEPT OF HEALTH/MENTAL HYGIENE,External,"IT Intern, DIIT Administration/Office of Chief Information Officer",COLLEGE AIDE - ASSIGNMENT LEVE,02,Below 50K,DIIT Administration
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"IT Intern, DIIT Administration/Office of Chief Information Officer",COLLEGE AIDE - ASSIGNMENT LEVE,02,Below 50K,DIIT Administration
HOUSING PRESERVATION & DVLPMNT,External,Senior Director for Predevelopment and Neighborhood Planning,ADMINISTRATIVE CITY PLANNER,M1,Above 50K,ONS - Planning
HOUSING PRESERVATION & DVLPMNT,Internal,Senior Director for Predevelopment and Neighborhood Planning,ADMINISTRATIVE CITY PLANNER,M1,Above 50K,ONS - Planning
DEPT OF DESIGN & CONSTRUCTION,Internal,Deputy Director,ADM ENGINEER (NON MGRL),00,Below 50K,Prog Mgmt/Eao-Executive
DEPT OF DESIGN & CONSTRUCTION,External,Deputy Director,ADM ENGINEER (NON MGRL),00,Below 50K,Prog Mgmt/Eao-Executive
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Health Inspector, Bureau of Environmental Disease and Injury Prevention",PUBLIC HEALTH SANITARIAN,02,Below 50K,Healthy Homes Progam
DEPT OF HEALTH/MENTAL HYGIENE,External,"Health Inspector, Bureau of Environmental Disease and Injury Prevention",PUBLIC HEALTH SANITARIAN,02,Below 50K,Healthy Homes Progam
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Buprenorphine Implementation Coordinator, Bureau of Alcohol and Drug Use, Prevention, Care, and Treatment",ADMINISTRATIVE PUBLIC HEALTH N,M1,Above 50K,"Alcohol, Drug Prev & Treatment"
DEPT OF ENVIRONMENT PROTECTION,Internal,Program Management Technical Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,Water Quality Unit
DEPARTMENT OF INVESTIGATION,External,Procurement Analyst Level 2,PROCUREMENT ANALYST,02,Below 50K,Default
DEPARTMENT OF INVESTIGATION,Internal,Procurement Analyst Level 2,PROCUREMENT ANALYST,02,Below 50K,Default
DEPT OF HEALTH/MENTAL HYGIENE,External,"Buprenorphine Implementation Coordinator, Bureau of Alcohol and Drug Use, Prevention, Care, and Treatment",ADMINISTRATIVE PUBLIC HEALTH N,M1,Above 50K,"Alcohol, Drug Prev & Treatment"
POLICE DEPARTMENT,External,"STATISTICIAN, LEVEL I",STATISTICIAN,01,Below 50K,Not Used
ADMIN FOR CHILDREN'S SVCS,Internal,Assistant Commissioner of OPTA,ADMINISTRATIVE DIRECTOR OF SOC,M3,Above 50K,Dpty Comm Fmly Spprt Svcs(Fss
ADMIN FOR CHILDREN'S SVCS,External,Assistant Commissioner of OPTA,ADMINISTRATIVE DIRECTOR OF SOC,M3,Above 50K,Dpty Comm Fmly Spprt Svcs(Fss
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Mental Health Service Corps Contract Analyst, Bureau of Mental Health",ASSOCIATE CONTRACT SPECIALIST,00,Above 50K,Mental Health
POLICE DEPARTMENT,External,AUTOMOTIVE SERVICE WORKER,AUTOMOTIVE SERVICE WORKER,01,Below 50K,Not Used
POLICE DEPARTMENT,Internal,AUTOMOTIVE SERVICE WORKER,AUTOMOTIVE SERVICE WORKER,01,Below 50K,Not Used
DEPT OF HEALTH/MENTAL HYGIENE,External,"Mental Health Service Corps Contract Analyst, Bureau of Mental Health",ASSOCIATE CONTRACT SPECIALIST,00,Above 50K,Mental Health
ADMIN FOR CHILDREN'S SVCS,Internal,Deputy Director of Provider Outcomes,CITY RESEARCH SCIENTIST,02,Above 50K,SRM: Elig/Rpt/Sys Spprt-P&P
ADMIN FOR CHILDREN'S SVCS,External,Deputy Director of Provider Outcomes,CITY RESEARCH SCIENTIST,02,Above 50K,SRM: Elig/Rpt/Sys Spprt-P&P
DEPARTMENT OF FINANCE,Internal,Administrative Law Judge,HEARING OFFICER (PVB - NOT EMP,00,Below 50K,Aljs - P/T
POLICE DEPARTMENT,Internal,"STATISTICIAN, LEVEL I",STATISTICIAN,01,Below 50K,Not Used
DEPARTMENT OF INVESTIGATION,External,Confidential Investigator level 3,CONFIDENTIAL INVESTIGATOR,03,Above 50K,Default
DEPARTMENT OF INVESTIGATION,Internal,Confidential Investigator level 3,CONFIDENTIAL INVESTIGATOR,03,Above 50K,Default
DEPT OF HEALTH/MENTAL HYGIENE,External,"Exterminator,  Bureau of Veterinary and Pest Control Services/Vector Surveillance",EXTERMINATOR,00,Below 50K,Vector Surveillance
DEPARTMENT OF FINANCE,External,Administrative Law Judge,HEARING OFFICER (PVB - NOT EMP,00,Below 50K,Aljs - P/T
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Special Program Consultant, Children, Youth & Families/Division of Mental Hygiene",SPECIAL CONSULTANT (MENTAL HEA,02,Above 50K,"Children, Youth, & Families"
DEPT OF HEALTH/MENTAL HYGIENE,External,"Special Program Consultant, Children, Youth & Families/Division of Mental Hygiene",SPECIAL CONSULTANT (MENTAL HEA,02,Above 50K,"Children, Youth, & Families"
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Technical Assistance Intern, Bureau of HIV/AIDS Prevention and Control/HIV/AIDS Care & Treatment",COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,HIV/AIDS Care & Treatment
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Exterminator,  Bureau of Veterinary and Pest Control Services/Vector Surveillance",EXTERMINATOR,00,Below 50K,Vector Surveillance
DEPT OF INFO TECH & TELECOMM,Internal,Cyber Threat Analyst,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,IT Security
DEPT OF INFO TECH & TELECOMM,Internal,Agency Relations Manager,IT PROJECT SPECIALIST,00,Above 50K,Chief Of Staff
DEPT OF INFO TECH & TELECOMM,External,Agency Relations Manager,IT PROJECT SPECIALIST,00,Above 50K,Chief Of Staff
DEPT OF DESIGN & CONSTRUCTION,Internal,Engineer-in-Charge,CIVIL ENGINEER,02,Above 50K,Infra-Design 2-Executive
ADMIN FOR CHILDREN'S SVCS,External,Directory Services Support,COMPUTER ASSOC (SOFTWARE),01,Above 50K,"Mis Admin,Network Sysms Dvlpmt"
DEPT OF INFO TECH & TELECOMM,External,Cyber Threat Analyst,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,IT Security
DEPT OF YOUTH & COMM DEV SRVS,Internal,Management Auditor,MANAGEMENT AUDITOR,01,Above 50K,Contract Agency Audit
CONSUMER AFFAIRS,Internal,Community Associate,COMMUNITY ASSOCIATE,00,Below 50K,Commuter Benefits
DEPT OF DESIGN & CONSTRUCTION,External,Engineer-in-Charge,CIVIL ENGINEER,02,Above 50K,Infra-Design 2-Executive
DEPARTMENT OF TRANSPORTATION,Internal,Sponsorship Coordinator,CLERICAL ASSOCIATE,04,Below 50K,Legal Affairs
DEPARTMENT OF TRANSPORTATION,Internal,Sponsorship Coordinator,CLERICAL ASSOCIATE,04,Below 50K,Legal Affairs
DEPT OF DESIGN & CONSTRUCTION,External,Safety Code Compliance Specialist,ADMINISTRATIVE PROJECT MANAGER,00,Below 50K,Prog Mgmt/Sss-Qa and Cs
CONSUMER AFFAIRS,External,Community Associate,COMMUNITY ASSOCIATE,00,Below 50K,Commuter Benefits
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Scanning Operator/Bureau of Vital Statistics,CLERICAL ASSOCIATE,04,Below 50K,Vital Statistics/Vital Recor
DEPT OF HEALTH/MENTAL HYGIENE,External,Scanning Operator/Bureau of Vital Statistics,CLERICAL ASSOCIATE,04,Below 50K,Vital Statistics/Vital Recor
